,Top 150,NTD ID,Agency,Mode,TOS,Month,Year,Estimated VRM
383,N,99425,Pomona Valley Transportation Authority,DR,PT,10/2022,2022,27313.0
384,N,99425,Pomona Valley Transportation Authority,DR,TX,10/2022,2022,7593.0
385,N,10066,Green Mountain Transit Authority,CB,DO,9/2022,2022,34556.0
386,N,10066,Green Mountain Transit Authority,DR,DO,9/2022,2022,99508.0
387,N,10066,Green Mountain Transit Authority,DR,PT,9/2022,2022,55404.0
388,N,10066,Green Mountain Transit Authority,MB,DO,9/2022,2022,108332.0
389,Y,10102,Connecticut Department of Transportation,CB,PT,9/2022,2022,52771.0
390,Y,10102,Connecticut Department of Transportation,CR,PT,9/2022,2022,120777.0
391,N,20149,"Rockland Coaches, Inc.",CB,DO,9/2022,2022,80462.0
392,Y,30051,"Montgomery County, Maryland",DR,DO,9/2022,2022,2412.0
393,N,30129,Anne Arundel County,DR,PT,9/2022,2022,59140.0
394,N,30129,Anne Arundel County,MB,PT,9/2022,2022,72328.0
395,Y,40003,City of Memphis,DR,DO,9/2022,2022,138761.0
396,Y,40003,City of Memphis,MB,DO,9/2022,2022,342560.0
397,Y,40003,City of Memphis,SR,DO,9/2022,2022,5777.0
398,N,40175,Puerto Rico Maritime Transport Authority ,FB,PT,9/2022,2022,17707.0
399,Y,40180,University of Georgia,DR,DO,9/2022,2022,84.0
400,N,60038,Lafayette City-Parish Consolidated Government,DR,PT,9/2022,2022,23854.0
401,N,60038,Lafayette City-Parish Consolidated Government,MB,DO,9/2022,2022,63723.0
402,N,70002,Transit Authority of Omaha,MB,DO,9/2022,2022,282674.0
403,N,80107,University of Montana,MB,DO,9/2022,2022,
404,Y,90041,City of Montebello,DR,PT,9/2022,2022,2671.0
405,N,90095,San Diego Association of Governments,VP,PT,9/2022,2022,782618.0
406,Y,90209,"Valley Metro Rail, Inc.",SR,PT,9/2022,2022,9968.0
407,N,90310,Tulare County Regional Transit Agency,DR,PT,9/2022,2022,4250.0
408,N,90310,Tulare County Regional Transit Agency,MB,PT,9/2022,2022,51047.0
409,N,99425,Pomona Valley Transportation Authority,DR,PT,9/2022,2022,26686.0
410,N,99425,Pomona Valley Transportation Authority,DR,TX,9/2022,2022,7419.0
411,N,10066,Green Mountain Transit Authority,CB,DO,8/2022,2022,36824.0
412,N,10066,Green Mountain Transit Authority,DR,DO,8/2022,2022,102575.0
413,N,10066,Green Mountain Transit Authority,DR,PT,8/2022,2022,57112.0
414,N,10066,Green Mountain Transit Authority,MB,DO,8/2022,2022,113330.0
415,Y,10102,Connecticut Department of Transportation,CB,PT,8/2022,2022,56235.0
416,Y,10102,Connecticut Department of Transportation,CR,PT,8/2022,2022,128747.0
417,Y,30051,"Montgomery County, Maryland",DR,DO,8/2022,2022,2487.0
418,N,30129,Anne Arundel County,DR,PT,8/2022,2022,60963.0
419,N,30129,Anne Arundel County,MB,PT,8/2022,2022,75665.0
420,Y,40003,City of Memphis,DR,DO,8/2022,2022,143038.0
421,Y,40003,City of Memphis,MB,DO,8/2022,2022,358363.0
422,Y,40003,City of Memphis,SR,DO,8/2022,2022,5929.0
423,N,40175,Puerto Rico Maritime Transport Authority ,FB,PT,8/2022,2022,18649.0
424,Y,40180,University of Georgia,DR,DO,8/2022,2022,86.0
425,N,60038,Lafayette City-Parish Consolidated Government,DR,PT,8/2022,2022,24589.0
426,N,60038,Lafayette City-Parish Consolidated Government,MB,DO,8/2022,2022,66663.0
427,N,70002,Transit Authority of Omaha,MB,DO,8/2022,2022,295715.0
428,N,80107,University of Montana,MB,DO,8/2022,2022,
429,Y,90041,City of Montebello,DR,PT,8/2022,2022,2754.0
430,Y,90209,"Valley Metro Rail, Inc.",SR,PT,8/2022,2022,10231.0
431,N,90310,Tulare County Regional Transit Agency,DR,PT,8/2022,2022,4381.0
432,N,90310,Tulare County Regional Transit Agency,MB,PT,8/2022,2022,53402.0
433,N,99425,Pomona Valley Transportation Authority,DR,PT,8/2022,2022,27509.0
434,N,99425,Pomona Valley Transportation Authority,DR,TX,8/2022,2022,7647.0
435,N,10066,Green Mountain Transit Authority,CB,DO,7/2022,2022,33602.0
436,N,10066,Green Mountain Transit Authority,DR,DO,7/2022,2022,94166.0
437,N,10066,Green Mountain Transit Authority,DR,PT,7/2022,2022,52430.0
438,N,10066,Green Mountain Transit Authority,MB,DO,7/2022,2022,108057.0
439,Y,10102,Connecticut Department of Transportation,CB,PT,7/2022,2022,51314.0
440,Y,10102,Connecticut Department of Transportation,CR,PT,7/2022,2022,123026.0
441,Y,30051,"Montgomery County, Maryland",DR,DO,7/2022,2022,2283.0
442,N,30129,Anne Arundel County,DR,PT,7/2022,2022,55965.0
443,N,30129,Anne Arundel County,MB,PT,7/2022,2022,72144.0
444,Y,40003,City of Memphis,DR,DO,7/2022,2022,131312.0
445,Y,40003,City of Memphis,MB,DO,7/2022,2022,341689.0
446,Y,40003,City of Memphis,SR,DO,7/2022,2022,5894.0
447,N,40175,Puerto Rico Maritime Transport Authority ,FB,PT,7/2022,2022,18321.0
448,Y,40180,University of Georgia,DR,DO,7/2022,2022,79.0
449,N,60038,Lafayette City-Parish Consolidated Government,DR,PT,7/2022,2022,22574.0
450,N,60038,Lafayette City-Parish Consolidated Government,MB,DO,7/2022,2022,63561.0
451,N,70002,Transit Authority of Omaha,MB,DO,7/2022,2022,281955.0
452,N,80107,University of Montana,MB,DO,7/2022,2022,
453,Y,90041,City of Montebello,DR,PT,7/2022,2022,2528.0
454,N,90310,Tulare County Regional Transit Agency,DR,PT,7/2022,2022,4021.0
455,N,90310,Tulare County Regional Transit Agency,MB,PT,7/2022,2022,50918.0
456,N,99425,Pomona Valley Transportation Authority,DR,PT,7/2022,2022,25253.0
457,N,99425,Pomona Valley Transportation Authority,DR,TX,7/2022,2022,7020.0
458,N,60038,Lafayette City-Parish Consolidated Government,DR,PT,6/2022,2022,23138.0
459,N,60038,Lafayette City-Parish Consolidated Government,MB,DO,6/2022,2022,63951.0
460,N,70002,Transit Authority of Omaha,MB,DO,6/2022,2022,283686.0
461,N,60038,Lafayette City-Parish Consolidated Government,MB,DO,5/2022,2022,64369.0
462,N,70002,Transit Authority of Omaha,MB,DO,5/2022,2022,285542.0
463,N,60038,Lafayette City-Parish Consolidated Government,MB,DO,4/2022,2022,63594.0
464,N,70002,Transit Authority of Omaha,MB,DO,4/2022,2022,282100.0
465,N,60038,Lafayette City-Parish Consolidated Government,MB,DO,3/2022,2022,66814.0
466,N,70002,Transit Authority of Omaha,MB,DO,3/2022,2022,296386.0
467,N,60038,Lafayette City-Parish Consolidated Government,MB,DO,2/2022,2022,59306.0
468,N,70002,Transit Authority of Omaha,MB,DO,2/2022,2022,263080.0
469,N,60038,Lafayette City-Parish Consolidated Government,MB,DO,1/2022,2022,62877.0
470,N,70002,Transit Authority of Omaha,MB,DO,1/2022,2022,278923.0
471,N,60038,Lafayette City-Parish Consolidated Government,MB,DO,12/2021,2021,65422.0
472,N,60038,Lafayette City-Parish Consolidated Government,MB,DO,11/2021,2021,63876.0
