,NTD ID,Legacy NTD ID,Agency,Mode,TOS,Status,Reporter Type,Organization Type,HQ City,HQ State,UZA,UZA Name,UZA SQ Miles,UZA Population,Service Area Population,Service Area SQ Miles,Most Recent Report Year,FY End Month,FY End Year,Passenger Miles FY,Unlinked Passenger Trips FY,Avg Trip Length FY,Fares FY,Operating Expenses FY,Avg Cost Per Trip FY,Avg Fares Per Trip FY
0,1,0001,King County Department of Metro Transit,DR,PT,Active,Full Reporter: Operating,"City, County or Local Government Unit or Department of Transportation",SEATTLE,WA,14.0,"Seattle, WA",1010.0,3059393.0,2287050.0,2134.0,2021,12,2021,4681124.0,468104.0,10.0001794473023,727350.0,55727925.0,119.050307196691,1.55382137302822
1,1,0001,King County Department of Metro Transit,DR,TX,Active,Full Reporter: Operating,"City, County or Local Government Unit or Department of Transportation",SEATTLE,WA,14.0,"Seattle, WA",1010.0,3059393.0,2287050.0,2134.0,2021,12,2021,1034484.0,88944.0,11.6307339449541,82828.0,4336772.0,48.75845475805,0.931237632667746
2,1,0001,King County Department of Metro Transit,FB,DO,Active,Full Reporter: Operating,"City, County or Local Government Unit or Department of Transportation",SEATTLE,WA,14.0,"Seattle, WA",1010.0,3059393.0,2287050.0,2134.0,2021,12,2021,984134.0,286843.0,3.43091516962241,1402145.0,7132706.0,24.8662369310041,4.88819667901953
3,1,0001,King County Department of Metro Transit,LR,DO,Active,Full Reporter: Operating,"City, County or Local Government Unit or Department of Transportation",SEATTLE,WA,14.0,"Seattle, WA",1010.0,3059393.0,2287050.0,2134.0,2021,12,2021,,,,,,,
4,1,0001,King County Department of Metro Transit,MB,DO,Active,Full Reporter: Operating,"City, County or Local Government Unit or Department of Transportation",SEATTLE,WA,14.0,"Seattle, WA",1010.0,3059393.0,2287050.0,2134.0,2021,12,2021,173679796.0,42112037.0,4.12423165376683,40536170.0,591780147.0,14.0525177397617,0.962579178964912
5,1,0001,King County Department of Metro Transit,MB,PT,Active,Full Reporter: Operating,"City, County or Local Government Unit or Department of Transportation",SEATTLE,WA,14.0,"Seattle, WA",1010.0,3059393.0,2287050.0,2134.0,2021,12,2021,1631439.0,424166.0,3.84622765615349,258046.0,12178959.0,28.7127186054516,0.608360877580947
6,1,0001,King County Department of Metro Transit,SR,DO,Active,Full Reporter: Operating,"City, County or Local Government Unit or Department of Transportation",SEATTLE,WA,14.0,"Seattle, WA",1010.0,3059393.0,2287050.0,2134.0,2021,12,2021,992847.0,829953.0,1.19626894534992,387766.0,11218266.0,13.5167485387727,0.467214408526748
7,1,0001,King County Department of Metro Transit,TB,DO,Active,Full Reporter: Operating,"City, County or Local Government Unit or Department of Transportation",SEATTLE,WA,14.0,"Seattle, WA",1010.0,3059393.0,2287050.0,2134.0,2021,12,2021,14349255.0,7976186.0,1.79901208422171,7677710.0,76487986.0,9.58954392487838,0.962579107357827
8,1,0001,King County Department of Metro Transit,VP,DO,Active,Full Reporter: Operating,"City, County or Local Government Unit or Department of Transportation",SEATTLE,WA,14.0,"Seattle, WA",1010.0,3059393.0,2287050.0,2134.0,2021,12,2021,10548410.0,512160.0,20.5959270540456,4082938.0,7064351.0,13.7932501562012,7.97199703217744
9,2,0002,Spokane Transit Authority,DR,DO,Active,Full Reporter: Operating,Independent Public Agency or Authority of Transit Service,SPOKANE,WA,96.0,"Spokane, WA",164.0,387847.0,459007.0,248.0,2021,12,2021,1024076.0,143809.0,7.12108421586966,374320.0,8688388.0,60.4161631052299,2.60289689796883
10,2,0002,Spokane Transit Authority,DR,PT,Active,Full Reporter: Operating,Independent Public Agency or Authority of Transit Service,SPOKANE,WA,96.0,"Spokane, WA",164.0,387847.0,459007.0,248.0,2021,12,2021,831448.0,108392.0,7.67075060890103,101343.0,4482736.0,41.3567052919035,0.934967525278618
11,2,0002,Spokane Transit Authority,MB,DO,Active,Full Reporter: Operating,Independent Public Agency or Authority of Transit Service,SPOKANE,WA,96.0,"Spokane, WA",164.0,387847.0,459007.0,248.0,2021,12,2021,22164027.0,5238135.0,4.23128212617659,5528141.0,54816699.0,10.4649267344198,1.05536436155235
12,2,0002,Spokane Transit Authority,VP,DO,Active,Full Reporter: Operating,Independent Public Agency or Authority of Transit Service,SPOKANE,WA,96.0,"Spokane, WA",164.0,387847.0,459007.0,248.0,2021,12,2021,1847203.0,70298.0,26.2767504054169,197371.0,553100.0,7.86793365387351,2.80763321858374
13,3,0003,Pierce County Transportation Benefit Area Authority,DR,DO,Active,Full Reporter: Operating,Independent Public Agency or Authority of Transit Service,LAKEWOOD,WA,14.0,"Seattle, WA",1010.0,3059393.0,575963.0,292.0,2021,12,2021,183647.0,24351.0,7.54166153340725,38131.0,3081906.0,126.561783910312,1.56589051784321
14,3,0003,Pierce County Transportation Benefit Area Authority,DR,PT,Active,Full Reporter: Operating,Independent Public Agency or Authority of Transit Service,LAKEWOOD,WA,14.0,"Seattle, WA",1010.0,3059393.0,575963.0,292.0,2021,12,2021,1059698.0,138673.0,7.64170386448696,166530.0,10184182.0,73.4402659493917,1.20088265199426
15,3,0003,Pierce County Transportation Benefit Area Authority,MB,DO,Active,Full Reporter: Operating,Independent Public Agency or Authority of Transit Service,LAKEWOOD,WA,14.0,"Seattle, WA",1010.0,3059393.0,575963.0,292.0,2021,12,2021,18329599.0,4363241.0,4.20091372445391,4462149.0,69288838.0,15.8801308476887,1.02266847052455
